Iteration,four_corners_50_n4_human,four_corners_50_n4,four_corners_50_n8_human,four_corners_50_n8,non_n4_four_corners_50_1,non_n4_four_corners_50_2,non_n4_four_corners_50_3,human_n4_four_corners_50_1,human_n4_four_corners_50_2,human_n4_four_corners_50_3,non_n8_four_corners_50_1,non_n8_four_corners_50_2,non_n8_four_corners_50_3,human_n8_four_corners_50_1,human_n8_four_corners_50_2,human_n8_four_corners_50_3
179,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
180,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
181,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
182,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
183,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
184,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
185,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
186,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
187,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
188,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
189,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
190,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
191,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
192,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
